box of teabag,running nr,weight before,weight only tea,date weighing before,fence,treat snow,treat Otc,date burry,date retrieve,incubation time,pseudo rep,Weight dried (with bag),weight after (dried at 60 degr C),Weight loss after incubation,comment
R5,94,2.171,1.92,24-05-2017,C8,C,,19-06-2018,27-08-2018,69,,1.846,1.4512,0.469,
G11,603,2.075,1.821,29-05-2017,C8,C,,19-06-2018,27-08-2018,69,,1.4527,1.0449,0.776,
R5,79,2.182,1.931,24-05-2017,C9,C,,19-06-2018,27-08-2018,69,,1.9141,1.5041,0.427,
G11,619,2.075,1.821,29-05-2017,C9,C,,19-06-2018,27-08-2018,69,,1.5132,1.0617,0.759,
R5,95,2.15,1.899,24-05-2017,D10,C,,19-06-2018,27-08-2018,69,,1.8031,1.4284,0.471,
G6,499,2.033,1.776,29-05-2017,D10,C,,19-06-2018,27-08-2018,69,,1.2596,0.8771,0.899,
R11,206,2.154,1.902,24-05-2017,D11,C,,19-06-2018,27-08-2018,69,,1.9594,1.5482,0.354,
G6,496,2.029,1.772,29-05-2017,D11,C,,19-06-2018,27-08-2018,69,,1.3764,0.9916,0.78,
R5,82,2.147,1.896,24-05-2017,D12,C,,19-06-2018,27-08-2018,69,,1.992,1.5441,0.352,
G11,618,2.059,1.805,29-05-2017,D12,C,,19-06-2018,27-08-2018,69,,1.6605,1.2006,0.604,
R11,193,2.209,1.957,24-05-2017,A1,D,,19-06-2018,27-08-2018,69,,1.957,1.5285,0.429,
G6,501,1.969,1.712,29-05-2017,A1,D,,19-06-2018,27-08-2018,69,,1.3574,0.9986,0.713,
R11,208,2.188,1.936,24-05-2017,A3,D,,19-06-2018,27-08-2018,69,,1.9381,1.5475,0.389,
G6,493,2.032,1.775,29-05-2017,A3,D,,19-06-2018,27-08-2018,69,,1.2659,0.8904,0.885,
R11,202,2.206,1.954,24-05-2017,B4,D,,19-06-2018,27-08-2018,69,,2.0213,1.5838,0.37,
G6,485,2.045,1.788,29-05-2017,B4,D,,19-06-2018,27-08-2018,69,,1.2831,0.9074,0.881,
R11,196,2.142,1.89,24-05-2017,B5,D,,19-06-2018,27-08-2018,69,,1.8796,1.4832,0.407,
G6,491,2.074,1.817,29-05-2017,B5,D,,19-06-2018,27-08-2018,69,,1.4492,1.0441,0.773,
R11,204,2.205,1.953,24-05-2017,B6,D,,19-06-2018,27-08-2018,69,,1.9204,1.5127,0.44,
G6,483,1.938,1.681,29-05-2017,B6,D,,19-06-2018,27-08-2018,69,,0.94,0.599,1.082,
R5,90,2.185,1.934,24-05-2017,C7,D,,19-06-2018,27-08-2018,69,,1.8955,1.467,0.467,
G11,623,2.04,1.786,29-05-2017,C7,D,,19-06-2018,27-08-2018,69,,1.4957,1.0333,0.753,
R5,93,2.22,1.969,24-05-2017,C8,D,,19-06-2018,27-08-2018,69,,2.0076,1.5709,0.398,
G11,604,2.036,1.782,29-05-2017,C8,D,,19-06-2018,27-08-2018,69,,1.4597,1.041,0.741,
R5,91,2.157,1.906,24-05-2017,C9,D,,19-06-2018,27-08-2018,69,,1.9954,1.5893,0.317,
G11,622,1.958,1.704,29-05-2017,C9,D,,19-06-2018,27-08-2018,69,,1.4246,1.0166,0.687,
R11,201,2.214,1.962,24-05-2017,D10,D,,19-06-2018,27-08-2018,69,,1.9232,1.5177,0.444,
G6,482,1.994,1.737,29-05-2017,D10,D,,19-06-2018,27-08-2018,69,,1.2436,0.8854,0.852,
R11,199,2.197,1.945,24-05-2017,D11,D,,19-06-2018,27-08-2018,69,,1.827,1.45,0.495,
G6,486,1.992,1.735,29-05-2017,D11,D,,19-06-2018,27-08-2018,69,,1.382,0.9944,0.741,
R5,77,2.225,1.974,24-05-2017,D12,D,,19-06-2018,27-08-2018,69,,1.9985,1.5862,0.388,
G6,497,2.02,1.763,29-05-2017,D12,D,,19-06-2018,27-08-2018,69,,1.4695,1.047,0.716,
R11,207,2.214,1.962,24-05-2017,A1,M,,19-06-2018,27-08-2018,69,,1.8731,1.5069,0.455,
G6,487,2,1.743,29-05-2017,A1,M,,19-06-2018,27-08-2018,69,,1.4672,1.082,0.661,
R11,203,2.16,1.908,24-05-2017,A3,M,,19-06-2018,27-08-2018,69,,1.8016,1.4642,0.444,
G6,488,1.95,1.693,29-05-2017,A3,M,,19-06-2018,27-08-2018,69,,1.4723,1.0508,0.642,
R11,197,2.224,1.972,24-05-2017,B4,M,,19-06-2018,27-08-2018,69,,1.9816,1.5866,0.385,
G6,498,2.089,1.832,29-05-2017,B4,M,,19-06-2018,27-08-2018,69,,1.4546,1.0501,0.782,
R11,195,2.129,1.877,24-05-2017,B5,M,,19-06-2018,27-08-2018,69,,1.8424,1.505,0.372,
G6,502,2.091,1.834,29-05-2017,B5,M,,19-06-2018,27-08-2018,69,,1.4824,1.0607,0.773,
R11,209,2.203,1.951,24-05-2017,B6,M,,19-06-2018,27-08-2018,69,,1.9786,1.5664,0.385,
G6,495,2.058,1.801,29-05-2017,B6,M,,19-06-2018,27-08-2018,69,,1.3547,0.9847,0.816,
R5,84,2.162,1.911,24-05-2017,C7,M,,19-06-2018,27-08-2018,69,,1.8113,1.4133,0.498,
G11,606,1.97,1.716,29-05-2017,C7,M,,19-06-2018,27-08-2018,69,,1.4079,0.9381,0.778,
R5,87,2.211,1.96,24-05-2017,C9,M,,19-06-2018,27-08-2018,69,,1.9124,1.5026,0.457,
G11,601,2.069,1.815,29-05-2017,C9,M,,19-06-2018,27-08-2018,69,,1.4967,1.0693,0.746,
R11,205,2.175,1.923,24-05-2017,D11,M,,19-06-2018,27-08-2018,69,,1.8704,1.4751,0.448,
G6,484,1.972,1.715,29-05-2017,D11,M,,19-06-2018,27-08-2018,69,,1.2585,0.8893,0.826,
R5,85,2.233,1.982,24-05-2017,D12,M,,19-06-2018,27-08-2018,69,,1.9985,1.6095,0.373,
G11,621,2.015,1.761,29-05-2017,D12,M,,19-06-2018,27-08-2018,69,,1.4459,0.9786,0.782,
G7,525,2.075,1.827,29-05-2017,,,,19-06-2018,27-08-2018,69,,,,,
R1,2,2.206,1.951,24-05-2017,A1,C,,06-09-2017,19-06-2018,286,,2.0358,1.6512,0.3,
G1,377,2.019,1.767,26-05-2017,A1,C,,06-09-2017,19-06-2018,286,,1.4456,1.0724,0.695,
R1,14,2.254,1.999,24-05-2017,A3,C,,06-09-2017,19-06-2018,286,,1.9833,1.6552,0.344,
G1,381,2.009,1.757,26-05-2017,A3,C,,06-09-2017,19-06-2018,286,,1.3942,1.0499,0.707,
R2,31,2.198,1.941,24-05-2017,B4,C,,06-09-2017,19-06-2018,286,,1.9867,1.609,0.332,
G8,534,2.115,1.863,29-05-2017,B4,C,,06-09-2017,19-06-2018,286,,1.1572,0.8076,1.055,
R4,62,2.184,1.929,24-05-2017,B5,C,,06-09-2017,19-06-2018,286,,1.9843,1.5781,0.351,
G1,380,2.016,1.764,26-05-2017,B5,C,,06-09-2017,19-06-2018,286,,1.295,0.9204,0.844,
R4,71,2.172,1.917,24-05-2017,B6,C,,06-09-2017,19-06-2018,286,,1.9489,1.5789,0.338,
G8,542,2.059,1.807,29-05-2017,B6,C,,06-09-2017,19-06-2018,286,,1.3525,0.9788,0.828,
